id,cusped,m,l,betti,torsion,volume,chernsimons,hash,cuspedtriangulation
128,m023,-5,2,0,"[3, 3]",2.54158501007,-0.2395837555,40d949ff6a827bb1e857db4d87854f36,eLMkcbdddhqqti_BaBB
129,m038,5,1,0,"[13]",2.5495466001,0.0466348124714,03a4024c55e2b0862bad3a22f326ee91,evQkbcddddwnbr_aBba
130,m026,-5,1,0,"[21]",2.56673478996,-0.17611059955,98ceadfd9e6967aa80b3ec05f602bb5d,ePzkbbcddxekqw_BaaB
131,m039,6,1,0,"[4, 4]",2.5689706009,0.03080331971,f7fff420b9aaedb43523289e994fba98,fzMPcbcdeeeqqhqwg_BacB
132,m035,-6,1,0,"[4, 8]",2.56897060094,-0.03080331971,d9eba26464692c1a03df28d454ee212a,ezPkbddcdqgrww_aBbB
133,m037,2,3,0,"[8, 8]",2.56897060094,-0.030803319707,9c6715b85b8665c914275a46bcf33688,ewAkaccddjjsqj_aBba
134,m130,-3,1,0,"[2, 16]",2.5689706009,-0.030803319707,8de27f8c0edff7aa5f18b88dd4ba5e39,eLPkccbddqjjsj_aBbB
135,m120,-4,1,0,"[12]",2.56897060094,-0.052530013626,fa548674c5cbf8beacbbc38a9c6c0409,fzLQcacdeeekndtbr_BbaB
136,m223,3,1,0,"[20]",2.5689706009,-0.05253001363,834b015658506b33a214a4d4ddee39a4,fvAQcbcddeeejkglr_bBab
137,m038,-6,1,0,"[20]",2.56897060094,-0.11413665304,834b015658506b33a214a4d4ddee39a4,evQkbcddddwnbr_aBba
138,m036,-2,3,0,"[60]",2.5689706009,0.11413665304,0670b7adabdfa0c38c4da7b531806bb0,eLPkccdddpsksr_aBbB
139,m160,1,2,0,"[15]",2.56897060094,0.13586334696,38ae3b6277ad6b49afd3bc24de1ebb3c,ezPkbdcddqssrw_BbBa
140,m117,-4,1,0,"[12]",2.56897060094,-0.19746998637,503899eb1302c1677bbb0e8e5afa4d90,eLPkcbdddqjwgr_aBbB
141,m026,1,4,0,"[84]",2.5689706009,-0.197469986374,a3d0569e4ee52e29b56f75e0303d35fd,ePzkbbcddxekqw_BaaB
142,m140,-1,2,0,"[4]",2.5689706009,-0.21919668029,fd24e28cf85115a0039cd24e47417603,fvMQcbdeedemsatrm_aBba
143,m027,1,4,0,"[36]",2.5689706009,0.21919668029,8c7e45f255d559fb165625c699e096c3,eLAkbbcdddhrxj_aBba
144,m136,1,2,0,"[2, 2]",2.56897060094,-0.23913665304,0c6f6e835549d7942af62b060928988b,ezMkbcdddqqhah_BaaB
145,m036,-1,3,0,"[57]",2.57516207358,-0.04732159882,d9b0725972bb955c406eefacff53e85b,eLPkccdddpsksr_aBbB
146,m029,-5,1,0,"[40]",2.5751620736,0.130654932158,5cf500918d209f76e72334a26175475b,ezPkbddcdqgrsw_aBba
147,m030,2,3,0,"[56]",2.57516207358,0.13065493216,4537072623de52f6a5cda2105c165091,ewMkaccddnrwhw_BbaB
148,m030,1,3,0,"[7, 7]",2.58548304796,-0.20710330298,343fc730a23eeca1574c08ab62242e31,ewMkaccddnrwhw_BbaB
149,m160,-3,2,0,"[3, 9]",2.59538759369,0.0,446ce4830fc711c80f406072991cf04b,ezPkbdcddqssrw_BbBa
150,m026,-5,2,0,"[2]",2.60918123951,0.13031710607,51e9ba2a196b4c70808e556a24c2e579,ePzkbbcddxekqw_BaaB
151,m036,-5,2,0,"[51]",2.60954395517,-0.003025238,7dc8005bea5d1bb20b8fb45750dff328,eLPkccdddpsksr_aBbB
152,m032,-6,1,0,"[8]",2.6095439552,0.08635857134,ba5a9e95d747eeb0d0a53c974b435f4d,ezPkbcdddlokks_baBb
153,m033,2,3,0,"[72]",2.6095439552,0.086358571337,b711b2f91a774511347ce4936df26a36,ezPkbdcddukfks_abBb
154,m027,-4,1,0,"[77]",2.6122234482,0.22818289137,5e5a5e612d706cb3c84e0a494cceba14,eLAkbbcdddhrxj_aBba
155,m027,4,3,0,"[25]",2.61728157072,0.19996918713,dd616d16cb8066e01f90424c2bc1719c,eLAkbbcdddhrxj_aBba
156,m081,1,3,0,"[37]",2.6244624283,0.05513212435,866ae18924e2839e511825df7d808892,eLPkcdbddqbjgr_BabB
157,m036,5,1,0,"[3]",2.6285738915,-0.12940045738,1522724841d1de21d0000eeee8ef796f,eLPkccdddpsksr_aBbB
158,m032,5,2,0,"[]",2.62940539529,-0.070144448785,be155d0a217451513245ffa4cd9c337f,ezPkbcdddlokks_baBb
159,m030,4,3,0,"[70]",2.63444032302,-0.19353779001,a86226c53619cfe1b88abbc2e20c4509,ewMkaccddnrwhw_BbaB
160,m034,-5,2,0,"[38]",2.63568904378,-0.17368692375,cfc97d11b98d6ab63363e545c564ddb4,ezMkbcddddqhei_BbBa
161,m034,-1,3,0,"[31]",2.64147144559,-0.225944082968,0517444362265b14ba27b0a7bca64c35,ezMkbcddddqhei_BbBa
162,m149,-3,1,0,"[30]",2.6447554792,-0.024654581865,66453bf8752d6f2ef13b6e5a623c029e,eLPkbdcddxkknw_BabB
163,m081,2,3,0,"[26]",2.64475547922,-0.10034541813,dd099c50d0449b228089b040fb2b9731,eLPkcdbddqbjgr_BabB
164,m168,3,1,0,"[2]",2.65283707351,-0.00191701997,3c9837de0355683f496f32c313a90d73,fvPQceddeedoknowo_BabB
165,m036,1,3,0,"[51]",2.65360806255,0.12765830291,cf266a18ca0d35395796cd50ec140af8,eLPkccdddpsksr_aBbB
