id,name,cusps,betti,torsion,tets,solids,hash,volume,triangulation
3636,ndode02_03568,2,1,"[2, 30]",50,2,591f2141e1bd1db269b6d02dc13e993a,41.160398707799985,YvLLwwLvvwwwPzzAwzwMMPPvLPQQQzQQQQcefgfiosruywzCAuBDxHKEDGFPUTVUJOIRNSTRRQWXWNPUTWSVXXfutenuqpcvvuvtalugrwnnpoqvavvgxcawdbhhnauuphqqecvax_baabbaab
3637,ndode02_03569,2,1,[60],49,2,8099536f8bcb45929b44c8e9b83901e4,41.160398707799985,XLvvLvQwMzvwMzAvzMLwvAAPzQQAMMQQQkbfmnlnjoqrvwtxruBAIyBKJFFOPMIGQTTQJURSNQOVUVVSSWWWhhxxaukaqakpkukemrkbfakfoarvecmbandaffbvuooauoiegi_baabbaab
3638,ndode02_03570,3,2,"[2, 4]",46,2,1b92ab8b8b050426dc4422b1c9fadca8,41.160398707799985,ULLvvLLPvLwvwvLQvQPPwwAPQMQPQQQkcejkhntpnGzBuJIvyCFLxEMEPQRPOORSNHJMJKTPLNTQSTSiiuuxnonfjolgpwiqbnegtgsaoeorocemaldrxtfijeimsi_baababBbbaab
3639,ndode02_03571,1,2,[24],46,2,8726f425cfd41df25e7763eef8ee37f7,41.160398707799985,UvLvvLwvwvLMALMLAvwPzQAQQPMAQQQkdkhqtsvspvysruCxDzMJEAPJFDHLILPIOKSOMMQTQRSRRTTnlglcjaijjaufwvxxbwagfcejmulrrwuqgwuintufswmmae_bBab
3640,ndode02_03572,1,2,[2],48,2,cb8500fcdc0c6c1710f892328a15eaf1,41.160398707799985,WvLLvLvvzvwLwzwLwzzQwQAQMMQQQQMQQcdhtmowAqDJAFEMLLIGKHQMPCHJSOIUOHJQRGUKSRQPUTTVVVtlgfbogafqarbqjkvfcwnakdojaadvdbrakkbaoxtticxxsbx_baab
3641,ndode02_03573,2,2,[12],51,2,41fa9c23be08b8046c1ca29836e425fe,41.160398707799985,ZvLvvvLwwzwLwQwvvPzLPAwQMQQMMQAQMQQclmpknvowqrtxHCzMDEGOOQSNEJRUIPRLPTVUTRSUXQTXWWYSWYYbxvaccwbcdwspavauwcaiwxpxluxtdtxjgulwflfwabwaatqlwno_baabbaab
3642,ndode02_03574,4,1,"[2, 2, 4]",47,2,7fc70946895b66325cc48f8cd36cbdcf,41.160398707799985,VLLzvvLvwLvLzvLMwQMPPMzQPQQPAQMQcceeilorxDyBFIwxBDJwLCFJJEGOOGPKRFHRNLNQNTOTTRUUUiigfaigalgisqrrhhauadcvgxjsajjapoohckecguftkegio_baabbaabBaaBbaab
3643,ndode02_03575,3,2,"[2, 12]",47,2,d628c58632a6772964069c65a9a9039c,41.160398707799985,VvvLLvvLvLzwQzzzLLPPAMQAAMAAQQQQcfioturtyxtyuuEHCFCJCDGDBJBONKQIQJOQTUUSPURSRPPTTuungkacugaaqfnappnulavuaevmckildonboaannanpppbll_BaaBbaabbaab
3644,ndode02_03576,3,2,[6],49,2,00b24338296da009269abaa228c82beb,41.160398707799985,XLLvvvwvwzwwPPAMzvLzMALQQAALQPQQQkcegmtsrpoBvBsqCDHFKJMJAKGFOKHNEQMUPVRTOOUTWVWVUSTWiilkaailrqvqegvhgpaajxgplllttfgntafakgllggrgxelglf_baabbaababBb
3645,ndode02_03577,4,2,"[2, 6]",48,2,7244706d2d975ec31dcf930a9decafbd,41.160398707799985,WLLzvLwvLzwAvvzLwPzMMMMAMPQPQMQQQceegjmksqvxByCEByFLMzOHOLKMINSTGQTSIUQNVPVROURRUViighdagmvbhaxeaqhtdiccucucfdqevaoacisojaaexcttxel_baabbaabbaabbaab
3646,ndode02_03578,1,1,"[5, 15]",48,2,20f961d003cad319e4dadc1bbd1fee16,41.160398707799985,WvvLLLvwvvPwwLQAwLvLMQLQQPPAAQQQQghjjqvvtAuAxvrtyKHIDMGQDGOKJNSIGPOLMSTRVURTRVSUTVddapaddkagopwcmkxldpdeaopfaexalowpmvvsbgangiesmfo_baab
3647,ndode02_03579,3,2,[4],47,2,f28ccf5487ffef91450eb15cc91509c9,41.160398707799985,VLvvvvLAvLvwvAQLLzPwAzMQPQQQAQQQcbhmjsvxCzqwDBCHywKNALEPKNEORSKPOIQLHMQMLQRTTUUTUlsahjaxjffsnsswwbuaojtanktkxkfbtbxhvmxgswtoqlfou_baabbaabbaab
3648,ndode02_03580,3,3,"[2, 2]",47,2,a1445e9d199d489572abccab962c6a9e,41.160398707799985,VvLvvLvAwvAwvwLQAvALPQwQPQQQvQQQcemnkowkqprxBDBACDzLJOyILLPJPNGKHOKQMIQSPUURTRTUToavkahomicvgvkqkhcvhhowffidiboiinfsudqgknvdcstan_baabbBbabaab
